City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hasaki,64,JP,1626834730,68,35.7333,140.8333,91.29,8.66
Westport,1,US,1626834652,90,41.1415,-73.3579,79.2,1.01
Nanchang,100,CN,1626834730,65,28.6833,115.8833,88.74,6.78
Bitung,72,ID,1626834731,68,1.4451,125.1824,90.45,11.14
Hobyo,12,SO,1626834731,83,5.3505,48.5268,75.97,20.18
Kutum,100,SD,1626834731,67,14.2,24.6667,73.89,19.77
San Miguel de Cozumel,0,MX,1626834714,82,20.5083,-86.9458,81.81,8.25
Mar del Plata,0,AR,1626834606,57,-38.0023,-57.5575,49.12,3.0
Jamestown,1,US,1626834642,83,42.097,-79.2353,71.24,9.22
Chernyshevskiy,70,RU,1626834732,39,63.0128,112.4714,75.81,7.92
Lebu,100,CL,1626834732,95,-37.6167,-73.65,52.03,7.29
Buluang,100,PH,1626834732,89,13.3068,123.3425,81.36,14.43
Makkah al Mukarramah,10,SA,1626834437,79,21.4267,39.8261,81.16,11.16
Saskylakh,100,RU,1626834733,73,71.9167,114.0833,57.07,12.91
Hanchuan,95,CN,1626834733,72,30.65,113.7667,89.71,7.96
Kousséri,95,CM,1626834733,94,12.0769,15.0306,75.16,5.75
Hobart,40,AU,1626834698,63,-42.8794,147.3294,56.05,1.01
São João da Barra,98,BR,1626834734,73,-21.6403,-41.0511,60.48,7.0
Alindao,93,CF,1626834734,98,5.0267,21.2088,67.95,1.01
Norman Wells,20,CA,1626834734,34,65.282,-126.8329,82.44,14.97
Katherine,49,AU,1626834735,24,-14.4667,132.2667,80.92,11.5
Ambon City,40,ID,1626834735,100,-3.6954,128.1814,75.34,3.44
Alugan,100,PH,1626834735,63,12.2188,125.4808,87.6,11.9
Nikolskoye,32,RU,1626834735,95,59.7035,30.7861,57.79,3.6
Pangnirtung,100,CA,1626834736,97,66.1451,-65.7125,42.37,5.01
Tezu,85,IN,1626834736,71,27.9167,96.1667,88.21,3.02
Gamba,39,GA,1626834736,90,-2.65,10.0,70.36,6.6
Saint-Pierre,0,RE,1626834737,70,-21.3393,55.4781,69.44,6.91
Roebourne,17,AU,1626834737,45,-20.7833,117.1333,80.83,7.54
Civitanova Marche,0,IT,1626834737,60,43.307,13.7206,75.11,5.03
Camalú,39,MX,1626834737,78,30.85,-116.0667,73.42,7.14
Quime,100,BO,1626834738,78,-16.9833,-67.2167,48.33,0.31
Saint-Joseph,23,RE,1626834738,74,-21.3667,55.6167,68.36,14.79
Pedregulho,100,BR,1626834738,18,-20.2569,-47.4767,51.82,4.34
Port Blair,100,IN,1626834738,82,11.6667,92.75,83.39,22.01
Torbay,90,CA,1626834739,97,47.6666,-52.7314,67.75,13.8
Caravelas,100,BR,1626834739,66,-17.7125,-39.2481,71.29,10.6
Cherskiy,58,RU,1626834739,40,68.75,161.3,66.54,6.02
Ahipara,100,NZ,1626834739,84,-35.1667,173.1667,59.11,16.84
Bengkulu,77,ID,1626834740,67,-3.8004,102.2655,82.71,2.44
Ribeira Grande,58,PT,1626834740,80,38.5167,-28.7,68.41,16.46
Bambous Virieux,40,MU,1626834740,60,-20.3428,57.7575,71.22,14.97
Raufoss,22,NO,1626834741,79,60.7264,10.6172,52.25,0.09
Avarua,75,CK,1626834741,78,-21.2078,-159.775,80.65,13.8
Rosario,0,AR,1626834741,64,-32.9468,-60.6393,51.94,1.01
Grafton,1,US,1626834741,84,42.207,-71.6856,75.49,1.01
Nanortalik,100,GL,1626834742,95,60.1432,-45.2371,46.72,13.06
Taltal,0,CL,1626834742,69,-25.4,-70.4833,58.37,4.38
Tiksi,43,RU,1626834742,68,71.6872,128.8694,45.03,8.97
Aripuanã,0,BR,1626834742,53,-9.1667,-60.6333,72.5,2.98
Zilair,40,RU,1626834743,55,52.2332,57.4392,72.61,6.31
Provideniya,75,RU,1626834743,62,64.3833,-173.3,55.51,8.95
Opuwo,0,NA,1626834743,43,-18.0607,13.84,55.45,4.9
Iqaluit,90,CA,1626834613,93,63.7506,-68.5145,42.53,0.0
Shenzhen,100,CN,1626834744,96,22.5455,114.0683,81.14,11.7
Nardaran,0,AZ,1626834744,83,40.5561,50.0056,78.44,0.0
Saint George,1,US,1626834608,35,37.1041,-113.5841,92.35,7.0
Hambantota,20,LK,1626834744,74,6.1241,81.1185,84.54,13.8
Buchanan,100,LR,1626834745,81,5.8808,-10.0467,76.08,6.06
Yakeshi,40,CN,1626834745,63,49.2833,120.7333,82.08,3.13
Popondetta,99,PG,1626834745,50,-8.7537,148.2534,89.46,7.52
Pacific Grove,40,US,1626834746,85,36.6177,-121.9166,77.99,5.01
Port Lincoln,100,AU,1626834746,57,-34.7333,135.8667,54.07,9.71
Richards Bay,0,ZA,1626834746,27,-28.783,32.0377,59.22,5.7
Yuli,76,NG,1626834746,94,9.6989,10.2744,72.97,2.66
Butiá,57,BR,1626834459,82,-30.1197,-51.9622,42.62,2.57
Saint-Leu,8,RE,1626834747,69,-21.15,55.2833,68.83,3.49
Lompoc,1,US,1626834747,81,34.6391,-120.4579,74.21,14.97
Geraldton,75,AU,1626834677,72,-28.7667,114.6,66.61,17.27
Buala,100,SB,1626834747,82,-8.145,159.5921,80.58,7.67
Necochea,1,AR,1626834606,85,-38.5473,-58.7368,47.32,4.59
Ithaca,20,US,1626834586,95,42.4406,-76.4966,69.84,1.01
Hilo,90,US,1626834748,86,19.7297,-155.09,79.25,9.22
Qaqortoq,100,GL,1626834748,99,60.7167,-46.0333,45.1,12.53
Winslow,1,US,1626834748,39,35.0242,-110.6974,87.98,1.01
Keïta,100,NE,1626834748,63,14.7551,5.7749,80.1,6.46
Broome,90,US,1626834613,88,42.2506,-75.833,68.97,1.01
Kruisfontein,77,ZA,1626834749,71,-34.0033,24.7314,45.88,12.64
Bemidji,1,US,1626834749,97,47.4736,-94.8803,69.91,4.61
Griffith,40,US,1626834749,81,41.5284,-87.4237,74.1,1.99
Hargeisa,77,SO,1626834525,60,9.56,44.065,67.96,30.0
Mount Gambier,40,AU,1626834750,76,-37.8333,140.7667,53.51,10.36
Jilib,80,SO,1626834750,84,0.4883,42.7854,74.19,9.37
Yilan,100,TW,1626834750,57,24.757,121.753,91.06,9.82
Alekseyevsk,57,RU,1626834751,36,57.8406,108.3492,80.78,4.12
Port Elizabeth,0,ZA,1626834751,66,-33.918,25.5701,50.29,14.97
Karratha,9,AU,1626834751,48,-20.7377,116.8463,79.93,8.37
Riyadh,79,SA,1626834551,32,24.6877,46.7219,91.54,3.49
Isla Vista,1,US,1626834718,60,34.4133,-119.861,87.67,6.91
Port Alfred,100,ZA,1626834751,70,-33.5906,26.891,54.01,24.29
Meulaboh,100,ID,1626834752,73,4.1363,96.1285,81.86,2.48
Majene,100,ID,1626834752,84,-3.5403,118.9707,78.89,8.75
Lethem,99,GY,1626834752,92,3.3803,-59.7968,74.19,5.68
Fairbanks,1,US,1626834753,26,64.8378,-147.7164,87.8,11.5
Erzin,33,TR,1626834753,82,36.9559,36.2,79.52,0.98
Beidao,81,CN,1626834753,65,34.5686,105.8933,79.02,6.53
Touros,1,BR,1626834753,85,-5.1989,-35.4608,74.3,13.42
Herat Province,0,AF,1626834754,20,34.5,62.0,72.19,15.95
Lorengau,70,PG,1626834754,70,-2.0226,147.2712,83.97,4.29
Faanui,23,PF,1626834754,76,-16.4833,-151.75,78.84,22.59
Escárcega,22,MX,1626834754,84,18.6089,-90.7454,76.3,2.82
Lyuban',100,BY,1626834755,81,52.7985,28.0048,58.77,7.65
Banda Aceh,99,ID,1626834755,69,5.5577,95.3222,84.36,16.22
Koutsouras,0,GR,1626834755,78,35.0339,25.9469,76.24,1.97
Sept-Îles,20,CA,1626834755,90,50.2001,-66.3821,60.06,2.3
Mount Isa,15,AU,1626834756,24,-20.7333,139.5,71.37,13.8
Presidente Médici,8,BR,1626834756,47,-11.1753,-61.9014,70.18,4.59
Chui,1,UY,1626834756,83,-33.6971,-53.4616,43.84,8.59
Rabo de Peixe,20,PT,1626834756,88,37.8,-25.5833,67.51,12.66
Kahului,20,US,1626834757,61,20.8947,-156.47,86.02,20.71
Mīnāb,19,IR,1626834757,53,27.1467,57.0801,85.5,3.02
Khatanga,100,RU,1626834757,80,71.9667,102.5,58.03,13.6
Nizhny Novgorod,0,RU,1626834758,96,56.3287,44.002,61.14,2.24
Ostrovnoy,94,RU,1626834758,77,68.0531,39.5131,45.97,15.35
Kiryat Gat,3,IL,1626834523,100,31.61,34.7642,77.68,3.24
Bagotville,12,AU,1626834758,42,-28.9833,153.4167,62.62,11.03
Khandyga,100,RU,1626834758,41,62.6667,135.6,85.41,6.91
Tuktoyaktuk,1,CA,1626834759,39,69.4541,-133.0374,80.6,17.27
Cidreira,26,BR,1626834759,74,-30.1811,-50.2056,49.35,7.05
Ponta Delgada,20,PT,1626834759,88,37.7333,-25.6667,68.72,12.66
Batemans Bay,6,AU,1626834759,41,-35.7167,150.1833,60.1,11.5
Gao,22,ML,1626834760,45,16.6362,1.637,89.37,14.07
Fort Saint James,64,CA,1626834760,86,54.4333,-124.25,58.33,1.81
Laas,0,IT,1626834760,76,46.6166,10.7002,63.86,3.2
Leh,85,IN,1626834761,59,34.1667,77.5833,59.11,4.79
Gannan,1,CN,1626834761,64,47.9147,123.5031,85.84,5.01
Tyret’ Pervaya,82,RU,1626834761,59,53.6703,102.3106,72.19,4.9
Puerto Ayora,100,EC,1626834761,92,-0.7393,-90.3518,73.54,5.99
Taoudenni,88,ML,1626834762,11,22.6783,-3.9836,103.87,2.37
Saint Anthony,1,US,1626834495,71,45.0205,-93.218,81.66,1.99
Corrente,2,BR,1626834762,92,-3.7367,-43.3394,71.6,3.0
Constitución,100,CL,1626834762,79,-35.3333,-72.4167,55.04,5.01
Tasiilaq,87,GL,1626834763,97,65.6145,-37.6368,41.16,3.33
Prince Rupert,90,CA,1626834763,84,54.3161,-130.3201,60.89,5.75
Ma’anshan,29,CN,1626834763,64,31.6957,118.4983,87.85,16.44
Klaksvík,53,FO,1626834763,97,62.2266,-6.589,52.72,10.36
La Ronge,75,CA,1626834764,60,55.1001,-105.2842,68.25,1.14
Vila Franca do Campo,13,PT,1626834764,90,37.7167,-25.4333,68.41,10.78
Bandarbeyla,81,SO,1626834764,67,9.4942,50.8122,77.99,24.38
Omagh,5,GB,1626834764,94,54.6,-7.3,59.14,2.17
Qaanaaq,97,GL,1626834765,88,77.484,-69.3632,37.56,4.18
Husavik,55,IS,1626834765,84,66.0449,-17.3389,58.91,3.83
Sydney,75,AU,1626834597,54,-33.8679,151.2073,59.56,1.99
Port Moresby,40,PG,1626834655,66,-9.4431,147.1797,85.42,17.27
Ust-Kuyga,96,RU,1626834765,55,70.0167,135.6,59.32,11.45
Guerrero Negro,2,MX,1626834766,82,27.9769,-114.0611,69.87,18.54
Kavieng,97,PG,1626834766,66,-2.5744,150.7967,84.76,3.62
Mozarlândia,0,BR,1626834766,31,-14.7447,-50.5706,72.21,7.92
Cedar City,1,US,1626834766,36,37.6775,-113.0619,81.57,5.75
Wanning,100,CN,1626834767,67,18.8003,110.3967,87.15,8.03
São Filipe,32,CV,1626834767,85,14.8961,-24.4956,73.99,4.56
Keetmanshoop,0,NA,1626834767,86,-26.5833,18.1333,34.72,4.61
Gravdal,100,NO,1626834768,75,68.1214,13.5031,49.32,21.85
Shingū,90,JP,1626834768,68,33.7333,135.9833,86.99,9.04
Kieta,100,PG,1626834768,79,-6.2167,155.6333,82.36,8.16
Castro,100,BR,1626834768,63,-24.7911,-50.0119,43.66,1.86
Baykit,100,RU,1626834769,66,61.67,96.37,63.0,1.48
Jati,100,PK,1626834769,76,24.3539,68.2671,84.99,24.7
Fortuna,75,US,1626834744,79,40.5982,-124.1573,63.93,4.0
Pisco,90,PE,1626834769,82,-13.7,-76.2167,62.65,4.61
Kuril'sk,88,RU,1626834769,76,45.2333,147.8833,62.69,4.25
Mandalgovi,100,MN,1626834770,35,45.7625,106.2708,81.52,20.6
Longyearbyen,75,SJ,1626834770,75,78.2186,15.6401,40.84,6.91
Kenai,90,US,1626834770,96,60.5544,-151.2583,60.03,8.05
Egvekinot,68,RU,1626834771,67,66.3167,-179.1667,43.48,10.85
Nova Londrina,100,BR,1626834771,37,-22.7658,-52.985,53.15,5.06
Baldwin,55,US,1626834771,97,30.7505,-87.7667,79.48,2.91
Miles City,1,US,1626834771,35,46.4083,-105.8406,88.77,3.44
Maxixe,0,MZ,1626834474,90,-23.8597,35.3472,65.39,5.66
Sisimiut,98,GL,1626834772,86,66.9395,-53.6735,44.38,4.61
Morgan Hill,1,US,1626834772,40,37.1305,-121.6544,80.31,12.66
Vestmannaeyjar,100,IS,1626834772,96,63.4427,-20.2734,52.54,8.95
Zharkent,99,KZ,1626834772,16,44.1628,80.0,88.48,5.37
Kamloops,20,CA,1626834773,19,50.6665,-120.3192,88.83,5.99
Cabo San Lucas,4,MX,1626834641,65,22.8909,-109.9124,91.81,13.27
Talnakh,0,RU,1626834773,57,69.4865,88.3972,59.97,2.77
Chumikan,32,RU,1626834773,63,54.7183,135.315,78.69,17.43
Lago da Pedra,2,BR,1626834774,96,-4.3333,-45.1667,71.33,2.62
Moroni,0,KM,1626834774,79,-11.7022,43.2551,75.69,5.44
Shelabolikha,76,RU,1626834774,55,53.4131,82.6167,67.46,9.44
Roald,75,NO,1626834774,71,62.5833,6.1333,51.94,2.3
Dhidhdhoo,98,MV,1626834775,73,6.8833,73.1,83.1,15.37
Umm Hājar,99,TD,1626834775,62,13.2954,19.6966,80.19,6.51
Shimoda,9,JP,1626834775,67,34.6667,138.95,88.11,8.16
Sioux Lookout,90,CA,1626834776,63,50.1001,-91.917,64.78,3.44
Itarema,47,BR,1626834776,81,-2.9248,-39.9167,77.54,12.57
Ilulissat,20,GL,1626834776,66,69.2167,-51.1,46.42,4.61
Kandrian,71,PG,1626834777,80,-6.2167,149.55,81.72,10.13
Kavaratti,100,IN,1626834777,80,10.5669,72.642,82.22,19.95
Sobolevo,100,RU,1626834777,70,54.4299,31.8996,57.06,5.77
Milyutinskaya,11,RU,1626834777,62,48.6279,41.6679,77.52,7.54
Flin Flon,98,CA,1626834778,60,54.7682,-101.865,67.05,6.15
Bethel,1,US,1626834778,89,41.3712,-73.414,75.65,3.44
Saint-André-Avellin,93,CA,1626834778,92,45.7168,-75.066,61.88,6.87
Brae,70,GB,1626834778,88,60.3964,-1.353,51.71,2.57
Boo,16,SE,1626834779,70,59.3333,18.2833,59.59,4.61
Boddam,90,GB,1626834779,90,57.4667,-1.7833,57.58,0.81
Ténenkou,6,ML,1626834780,50,14.4572,-4.9169,87.13,16.49
Yangi Marg`ilon,100,UZ,1626834780,60,40.4272,71.7189,74.12,2.3
Voznesen'ye,70,RU,1626834780,90,61.0106,35.4781,54.91,10.11
Itambé,100,BR,1626834780,95,-15.245,-40.6244,63.61,3.31
Ponta do Sol,0,PT,1626834781,78,32.6667,-17.1,70.72,3.98
Margate,0,GB,1626834781,89,51.3813,1.3862,64.04,1.99
Esil,22,KZ,1626834781,55,51.9556,66.4042,71.11,5.61
Rome,20,US,1626834781,93,43.2128,-75.4557,67.39,0.0
Carballo,99,ES,1626834782,94,43.213,-8.691,64.54,2.37
Kiunga,100,PG,1626834782,88,-6.1219,141.2906,76.93,2.86
Winnemucca,1,US,1626834782,18,40.973,-117.7357,91.45,8.05
Dicabisagan,99,PH,1626834783,65,17.0818,122.4157,86.11,1.12
San Patricio,37,US,1626834783,75,28.017,-97.5169,84.06,6.98
Hihyā,0,EG,1626834783,72,30.6713,31.588,83.28,5.03
Dingle,100,PH,1626834783,67,10.9995,122.6711,86.38,16.53
Vikhorevka,25,RU,1626834730,50,56.1201,101.1636,72.99,4.88
Morón,7,AR,1626834714,70,-34.6534,-58.6198,53.98,5.41
Flinders,99,AU,1626834784,46,-34.5833,150.8552,59.18,7.0
La Libertad,75,EC,1626834784,88,-2.2333,-80.9,69.46,13.8
Ballitoville,0,ZA,1626834784,57,-29.539,31.2144,60.24,5.75
Leshan,1,CN,1626834785,79,29.5623,103.7639,83.53,1.97
Belaya Gora,87,RU,1626834785,56,68.5333,146.4167,64.47,7.52
Abaetetuba,12,BR,1626834785,94,-1.7181,-48.8825,75.24,4.97
Smithers,40,CA,1626834714,77,54.7804,-127.1743,61.12,3.44
Vardø,100,NO,1626834785,91,70.3705,31.1107,43.21,15.08
Souillac,40,MU,1626834786,60,-20.5167,57.5167,71.37,14.97
Biltine,100,TD,1626834786,52,14.5333,20.9167,82.26,10.45
Mumbwa,35,ZM,1626834786,59,-14.9783,27.0619,53.49,3.76
Cayenne,20,GF,1626834506,81,4.9333,-52.3333,82.09,1.99
Hamilton,1,US,1626834753,79,39.1834,-84.5333,76.44,4.61
Ullapool,58,GB,1626834787,94,57.8987,-5.1604,58.75,0.98
Sungai Penuh,92,ID,1626834787,54,-2.0833,101.3833,76.55,3.83
Gambiran,26,ID,1626834787,57,-6.7988,111.4951,85.28,7.25
Teahupoo,31,PF,1626834787,81,-17.8333,-149.2667,76.96,21.52
Port Hedland,29,AU,1626834788,44,-20.3167,118.5667,82.45,13.8
Butembo,63,CD,1626834788,94,0.15,29.2833,57.13,2.1
Saint-Augustin,93,CA,1626834788,85,51.226,-58.6502,58.05,10.96
Manokwari,100,ID,1626834789,78,-0.8667,134.0833,79.95,11.56
Santa Cecília,89,BR,1626834622,69,-26.9608,-50.4269,38.53,1.45
Pilar,16,BR,1626834789,92,-9.5972,-35.9567,71.53,3.78
Pampa,1,US,1626834789,64,35.5362,-100.9599,74.19,6.91
Nowy Tomyśl,58,PL,1626834790,80,52.3195,16.1284,58.77,5.3
Lubango,0,AO,1626834790,49,-14.9172,13.4925,53.64,5.68
Porto-Novo,76,BJ,1626834791,82,6.4965,2.6036,78.62,7.85
Mahébourg,40,MU,1626834791,60,-20.4081,57.7,71.26,14.97
Upernavik,100,GL,1626834791,85,72.7868,-56.1549,42.03,8.41
Meadow Lake,100,US,1626834791,62,34.8014,-106.5436,79.48,9.22
Sohag,53,EG,1626834792,25,26.557,31.6948,88.09,8.57
Luanda,11,AO,1626834506,90,-8.8368,13.2343,66.81,7.27
Bilma,99,NE,1626834792,40,18.6853,12.9164,85.96,7.4
Padang,99,ID,1626834792,68,-0.9492,100.3543,84.25,2.15
San Ramon,1,US,1626834793,63,37.7799,-121.978,81.63,3.0
San Quintín,23,MX,1626834793,82,30.4833,-115.95,70.5,11.01
Narsaq,100,GL,1626834793,99,60.9167,-46.05,44.82,3.6
Gilbués,37,BR,1626834793,36,-9.8317,-45.3439,73.08,3.15
Alice Springs,0,AU,1626834794,30,-23.7,133.8833,67.55,6.91
Aswān,0,EG,1626834794,19,24.0934,32.907,92.5,12.66
Estevan,90,CA,1626834794,94,49.1334,-102.9842,70.14,18.41
Caldwell,1,US,1626834794,40,43.6629,-116.6874,90.75,6.91
Walvis Bay,0,NA,1626834795,93,-22.9575,14.5053,55.09,8.05
Seguin,1,US,1626834795,75,29.5688,-97.9647,82.54,4.61
Pevek,87,RU,1626834795,71,69.7008,170.3133,43.21,6.85
Annau,3,TM,1626834795,25,37.8876,58.516,87.3,11.5
Lavrentiya,100,RU,1626834796,91,65.5833,-171.0,43.38,7.36
Gambēla,100,ET,1626834796,89,8.25,34.5833,68.7,2.39
Pichátaro,99,MX,1626834796,93,19.5667,-101.8,55.11,2.55
Zhigansk,97,RU,1626834797,51,66.7697,123.3711,64.78,15.66
Jijiga,99,ET,1626834797,77,9.35,42.8,61.9,19.73
Dalvik,68,IS,1626834797,70,65.9702,-18.5286,58.93,12.37
Basoko,57,CD,1626834797,84,1.2391,23.616,70.23,2.01
Kanashevo,54,RU,1626834798,64,55.2169,62.0634,70.11,13.42
Ancud,100,CL,1626834798,95,-41.8697,-73.8203,51.33,3.74
Piaçabuçu,13,BR,1626834798,83,-10.4056,-36.4344,73.76,9.1
Bystřice pod Hostýnem,82,CZ,1626834798,92,49.3992,17.674,56.53,2.24
Aquiraz,49,BR,1626834799,82,-3.9014,-38.3911,80.69,13.6
Atasū,37,KZ,1626834799,53,48.6814,71.6433,71.74,16.35
Ust-Tsilma,95,RU,1626834799,59,65.441,52.1498,59.32,4.56
Andenes,90,NO,1626834799,87,69.3143,16.1194,46.38,21.85
Kemijärvi,37,FI,1626834800,74,66.7131,27.4306,43.66,8.01
Tuatapere,100,NZ,1626834800,82,-46.1333,167.6833,46.81,3.56
Okitipupa,100,NG,1626834800,95,6.5047,4.7839,73.58,2.75
Mehamn,100,NO,1626834800,94,71.0357,27.8492,43.72,24.4
Winfield,1,US,1626834801,61,37.2398,-96.9956,79.77,4.61
Komsomol'skoye,5,RU,1626834801,83,55.2567,47.5461,65.05,6.53
Isangel,75,VU,1626834801,66,-19.55,169.2667,86.11,6.91
Carupano,88,VE,1626834801,84,10.6678,-63.2585,76.39,6.58
Novoseleznëvo,30,RU,1626834802,64,55.6821,69.2056,71.06,6.64
Yatou,91,CN,1626834802,64,37.15,122.3833,84.27,7.61
Katsuura,55,JP,1626834802,66,35.1333,140.3,87.91,6.8
Tura,100,IN,1626834803,83,25.5198,90.2201,81.23,4.54
Makakilo City,75,US,1626834803,66,21.3469,-158.0858,82.72,9.22
Rawson,23,AR,1626834803,58,-43.3002,-65.1023,49.44,7.36
Bereda,8,ES,1626834803,99,43.2686,-7.5406,61.0,0.87
Petropavlovsk-Kamchatskiy,20,RU,1626834736,64,53.0452,158.6483,72.19,11.18
Port Macquarie,78,AU,1626834804,53,-31.4333,152.9167,59.9,23.91
Berlevåg,100,NO,1626834804,93,70.8578,29.0864,43.54,23.47
Saint-Philippe,52,RE,1626834804,76,-21.3585,55.7679,69.35,14.38
Beringovskiy,100,RU,1626834804,85,63.05,179.3167,45.14,8.01
Amahai,99,ID,1626834805,87,-3.3333,128.9167,79.02,8.48
Scarborough,0,GB,1626834697,90,54.2797,-0.4044,62.92,1.99
Bonthe,100,SL,1626834805,85,7.5264,-12.505,76.26,9.93
Rockland,47,US,1626834805,90,41.1668,-74.0496,80.78,3.53
Arman',71,RU,1626834806,71,59.7,150.1667,63.3,8.03
Punta Gorda,1,US,1626834572,72,26.9298,-82.0454,86.02,5.01
Takaungu,23,KE,1626834806,89,-3.6837,39.8566,72.64,11.05
San Ignacio,75,BZ,1626834806,100,17.1561,-89.0714,73.54,0.0
Sovetskiy,100,RU,1626834807,92,61.3614,63.5842,62.42,5.1
Lagoa,5,PT,1626834807,79,39.05,-27.9833,67.46,19.95
Iguape,100,BR,1626834807,86,-24.7081,-47.5553,54.28,4.29
Guánica,1,PR,1626834807,81,17.9716,-66.908,82.02,1.99
Srednekolymsk,95,RU,1626834808,58,67.45,153.6833,68.63,16.55
Suntar,100,RU,1626834808,55,62.1444,117.6319,73.15,3.47
Port Hardy,75,CA,1626834808,63,50.6996,-127.4199,62.78,5.75
Faro,0,PT,1626834637,46,37.0194,-7.9322,74.98,1.14
Yulara,6,AU,1626834808,28,-25.2406,130.9889,69.64,6.91
Lüchow,95,DE,1626834809,85,52.9667,11.15,62.44,5.1
Ust-Nera,100,RU,1626834809,55,64.5667,143.2,74.59,3.36
Carmo do Rio Verde,0,BR,1626834809,37,-15.3536,-49.7075,67.26,3.85
Praia da Vitória,75,PT,1626834810,88,38.7333,-27.0667,68.25,11.65
Santiago de Cao,4,PE,1626834810,87,-7.9589,-79.2392,64.15,8.37
